category,icon,title,description,tip
Andning,🌬️,Fyrkantandning,"Andas in i 4 sekunder, håll andan i 4 sekunder, andas ut i 4 sekunder, håll i 4 sekunder. Upprepa 4 gånger.","Detta aktiverar ditt parasympatiska nervsystem och skapar lugn."
Andning,🎈,Lång utandning,"Andas in genom näsan i 4 sekunder. Andas sedan ut långsamt genom munnen i 8 sekunder, som om du blåser genom ett sugrör.","En längre utandning än inandning signalerar trygghet till kroppen."
Grounding,👀,5-4-3-2-1 Tekniken,"Nämn 5 saker du ser, 4 du kan röra vid, 3 du hör, 2 du kan lukta och 1 du kan smaka.","Detta förankrar dig i nuet och bryter tankespiraler."
Grounding,🦶,Känn dina fötter,"Tryck fötterna stadigt mot golvet. Känn tyngden, temperaturen och underlaget. Vicka på tårna.","Fokus på fötterna hjälper dig att 'landa' i kroppen."
Rörelse,🦋,Fjärilskramen,"Korsa armarna över bröstet med händerna på axlarna. Klappa växelvis, höger-vänster, i en lugn rytm.","Bilateral stimulering lugnar nervsystemet."
Rörelse,💪,Skaka av dig,"Stå upp och skaka händer, armar, ben och hela kroppen i 30-60 sekunder. Låt det vara ostylat!","Djur skakar av sig stress naturligt - det fungerar för oss också."
Kyla,❄️,Kallt vatten,"Skölj händerna eller ansiktet med kallt vatten, eller håll isbitar i händerna.","Kyla aktiverar dykresponsen och sänker pulsen."
Värme,☕,Varm dryck,"Håll en varm kopp i händerna. Känn värmen sprida sig. Andas in ångan och drick långsamt.","Värme signalerar trygghet och omsorg till kroppen."
Social,🤗,Trygg person,"Tänk på eller kontakta någon som får dig att känna dig trygg. Visualisera deras ansikte och röst.","Social koppling är ett av våra starkaste regleringsverktyg."
Kropp,🧘,Kroppsskanning,"Börja vid fötterna och vandra uppåt genom kroppen. Notera spänningar utan att döma. Andas till varje område.","Medvetenhet om kroppen ökar din förmåga att reglera den."
Ljud,🎵,Humming,"Humma en ton eller en melodi i en minut. Känn vibrationen i bröstkorgen och halsen.","Att humma stimulerar vagusnerven och skapar lugn."
Natur,🌳,Naturkontakt,"Gå ut och rör vid ett träd, gräs eller jord. Titta på himlen. Lyssna på naturljud.","Naturkontakt sänker stresshormoner på bara 20 minuter."
Gränser,🛡️,Trygg plats,"Visualisera en plats där du känner dig helt trygg. Det kan vara verklig eller påhittad. Utforska den med alla sinnen.","Hjärnan kan inte helt skilja på verkligt och föreställt - använd det!"
Aktivering,⚡,Kall splash,"Om du känner dig avstängd eller dimmig - gör 10 hopp på stället eller 10 snabba knäböj.","Ibland behöver vi aktivera, inte lugna, nervsystemet."
Medkänsla,💚,Hand på hjärtat,"Lägg handen på hjärtat. Säg till dig själv: 'Det här är svårt just nu. Jag gör så gott jag kan.'","Beröring och vänliga ord aktiverar lugn-och-ro-systemet."
Sinnen,🍋,Surt eller starkt,"Ät något surt som citron, eller något starkt som ingefära. Fokusera helt på smaken.","Starka sinnesintryck bryter dissociation och förankrar i nuet."
